latitude longitude month day year
-21.7609533 -43.3501129 3 27 2020
27.3438942 -81.340804 3 27 2020
27.1810165 -82.322847 3 27 2020
-22.9083 -43.1964 3 27 2020
-31.769974 -52.341016 3 27 2020
14.55 121 3 27 2020
27.6929165 -80.614846 3 27 2020
-19.9227318 -43.9450948 3 27 2020
14.57 121.12 3 27 2020
-8.04255435 -34.92770629 3 27 2020
-30.034647 -51.217658 3 27 2020
44.9590738 -85.76983 3 27 2020
-8.11222 -35.01603 3 27 2020
25.4039477 -81.064665 3 27 2020
28.7049659 -82.081078 3 27 2020
14.584244 121.176289 3 27 2020
-17.383333 -66.166667 3 27 2020
14.47 121.02 3 27 2020
14.93 120.5 3 27 2020
29.3206941 -82.741801 3 27 2020
-22.2558 17.22793 3 27 2020
30.7022066 -87.376707 3 27 2020
-31.328497 -54.092275 3 27 2020
-5.2085503 -45.393026 3 27 2020
29.9845178 -81.852084 3 27 2020
19.433333 -98.166667 3 27 2020
32.34792 -93.0568 3 27 2020
-7.2233728 -35.887976 3 27 2020
-29.651794 -51.187049 3 27 2020
29.4615364 -81.314147 3 27 2020
-17.85 31.05 3 27 2020
30.292 -92.4118 3 27 2020
-6.738 -38.238099 3 27 2020
28.5530239 -82.422044 3 27 2020
30.458651 -84.277579 3 27 2020
14.69694 121.12194 3 27 2020
-2.00007 29.92595 3 27 2020
-20.103444 -44.971672 3 27 2020
-18.604145 -46.50967 3 27 2020
30.2792092 -85.615066 3 27 2020
-22.52255 -44.104013 3 27 2020
10.676458 122.950917 3 27 2020
-18.483333 -64.1 3 27 2020
32.483333 3.666667 3 27 2020
6.5 7.5 3 27 2020
14.52 121.05 3 27 2020
27.4716081 -82.30022 3 27 2020
39.9710144 -103.20026 3 27 2020
14.45 120.98 3 27 2020
0.033889 -51.066389 3 27 2020
-19.941731 -44.332391 3 27 2020
-21.090125 -45.56602 3 27 2020
27.1865811 -81.809186 3 27 2020
40.2629347 -103.80867 3 27 2020
30.7067986 -86.597236 3 27 2020
14.33 120.94 3 27 2020
30.65384 -92.8279 3 27 2020
30.65004 -93.3436 3 27 2020
-27.864355 -54.477929 3 27 2020
17.62 121.72 3 27 2020
-19.9854089 -43.8470691 3 27 2020
30.7330818 -87.017897 3 27 2020
37.2777266 -105.42668 3 27 2020
34.1496145 -87.373542 3 27 2020
24.933333 -104.916667 3 27 2020
15.48017 120.59794 3 27 2020
7.07 125.6 3 27 2020
-30.026857 -52.905213 3 27 2020
-19.891049 -44.153969 3 27 2020
52.3 76.95 3 27 2020
-20.8975 -45.277223 3 27 2020
-20 -64.416667 3 27 2020
30.6597434 -86.162894 3 27 2020
37.5718598 -105.78763 3 27 2020
6.5 6 3 27 2020
-16.3003244 -46.902244 3 27 2020
33.7718038 -85.826459 3 27 2020
-27.25 -50.333333 3 27 2020
-28.7129918 -51.91933909 3 27 2020
38.9895831 -103.51229 3 27 2020
24.19596 -102.729 3 27 2020
-32.033425 -52.09913 3 27 2020
-22.789623 -43.309929 3 27 2020
34.85 5.733333 3 27 2020
44 72 3 27 2020
14.7 120.98 3 27 2020
-5.3264703 -39.7156073 3 27 2020
43.866667 52 3 27 2020
34.666667 3.25 3 27 2020
14.8433 120.8114 3 27 2020
30.6115741 -81.804005 3 27 2020
-29.7420897 -51.16902201 3 27 2020
36.286389 7.951111 3 27 2020
35.8482692 -86.338776 3 26 2020
29.57593 -90.4432 3 26 2020
40.2030102 -74.671197 3 26 2020
47.4049899 -120.43805 3 26 2020
34.4620192 -106.10579 3 26 2020
-29.163403 -51.179668 3 26 2020
42.696325 -82.932461 3 26 2020
42.2607777 -71.814789 3 26 2020
32.7791661 -89.6638 3 26 2020
41.843684 -87.816737 3 26 2020
38.500845 -98.381468 3 26 2020
38.4712688 -89.929993 3 26 2020
41.3650658 -82.620057 3 26 2020
39.9450506 -86.27919 3 26 2020
-22.2818 -48.7268 3 26 2020
31.5689492 -99.372545 3 26 2020
38.8787513 -77.10001 3 26 2020
40.8839849 -77.79931 3 26 2020
30.40684 -89.9643 3 26 2020
29.83975 -90.1382 3 26 2020
39.0599087 -76.80352 3 26 2020
38.4156243 -78.279766 3 26 2020
41.8953126 -84.068294 3 26 2020
-1.8197455 -80.2377078 3 26 2020
38.3982037 -92.487656 3 26 2020
14.462422 120.964453 3 26 2020
42.3259331 -88.002775 3 26 2020
42.2844327 -83.287789 3 26 2020
30.06923 -89.9312 3 26 2020
35.5993932 -97.51493 3 26 2020
42.6608181 -83.38565 3 26 2020
44.6758939 -89.747725 3 26 2020
39.4150221 -116.66716 3 26 2020
39.3655661 -111.68255 3 26 2020
44.0842428 -72.662174 3 26 2020
41.8527281 -88.085132 3 26 2020
35.5506116 -79.38794 3 26 2020
40.3315312 -84.204641 3 26 2020
56.7 -3.733333 3 26 2020
-28.471488 -49.014132 3 26 2020
41.8781 -87.6298 3 26 2020
-12.977749 -38.50163 3 26 2020
42.9596571 -85.996819 3 26 2020
44.4550142 -100.23235 3 26 2020
-1.86218 -79.977669 3 26 2020
41.9401479 -88.429302 3 26 2020
33.9254392 -80.900601 3 26 2020
43.0222106 -83.706566 3 26 2020
-2.1894128 -79.8890662 3 26 2020
51.82614 -0.21468 3 26 2020
